company,product,typename,inches,screenresolution,cpu,ram(GB),memory,gpu,opsys,weight(kg),price,cpu_freq(GHz),cpu_brand,gpu_brand,company_id,product_id,typename_id,screenresolution_id,cpu_id,memory_id,gpu_id,opsys_id,cpu_brand_id,gpu_brand_id
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 ,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,2.3,Intel,Intel,0,0,0,0,0,0,0,0,0,0
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 ,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,898.94,1.8,Intel,Intel,0,1,0,1,0,1,1,0,0,0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U ,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,575.0,2.5,Intel,Intel,1,2,1,2,1,2,2,1,0,0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 ,16,512GB SSD,AMD Radeon Pro 455,macOS,1.83,2537.45,2.7,Intel,AMD,0,0,0,3,2,3,3,0,0,1
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 ,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,3.1,Intel,Intel,0,0,0,0,0,2,4,0,0,0
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 ,4,500GB HDD,AMD Radeon R5,Windows 10,2.1,400.0,3.0,AMD,AMD,2,3,1,4,3,4,5,2,1,1
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 ,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,2.2,Intel,Intel,0,0,0,3,2,5,6,3,0,0
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 ,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1158.7,1.8,Intel,Intel,0,1,0,1,0,5,1,0,0,0
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U ,16,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,1495.0,1.8,Intel,Nvidia,3,4,0,2,4,3,7,2,0,2
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U ,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,770.0,1.6,Intel,Intel,2,5,0,5,5,2,8,2,0,0
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U ,4,500GB HDD,Intel HD Graphics 620,No OS,1.86,393.9,2.5,Intel,Intel,1,2,1,4,1,4,2,1,0,0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U ,4,500GB HDD,Intel HD Graphics 520,No OS,1.86,344.99,2.0,Intel,Intel,1,2,1,2,6,4,9,1,0,0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 ,16,256GB SSD,AMD Radeon Pro 555,macOS,1.83,2439.97,2.8,Intel,AMD,0,0,0,3,2,2,10,0,0,1
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U ,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,498.9,2.0,Intel,AMD,4,6,1,2,6,2,11,2,0,1
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 ,8,256GB SSD,Intel HD Graphics 615,macOS,0.92,1262.4,1.2,Intel,Intel,0,7,0,6,7,2,12,0,0,0
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 ,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,2.3,Intel,Intel,0,0,0,0,0,2,0,0,0,0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U ,8,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,745.0,2.7,Intel,AMD,4,6,1,2,8,2,11,2,0,1
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 ,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,2858.0,2.9,Intel,AMD,0,0,0,3,2,3,13,0,0,1
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U ,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,499.0,2.4,Intel,Nvidia,5,8,1,2,9,6,14,1,0,2
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U ,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,979.0,1.6,Intel,Intel,4,9,0,7,5,0,8,2,0,0
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 ,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,191.9,1.44,Intel,Intel,3,10,2,4,10,7,15,2,0,0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ ,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,2.5,Intel,Nvidia,5,11,3,5,11,8,16,2,0,2
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e ,4,500GB HDD,AMD Radeon R2,No OS,1.86,258.0,1.5,AMD,AMD,1,12,1,4,12,4,17,1,1,1
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U ,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,819.0,1.6,Intel,Intel,4,13,4,8,5,2,8,2,0,0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U ,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,659.0,1.8,Intel,Intel,1,14,0,2,4,2,2,2,0,0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U ,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,418.64,2.0,Intel,Intel,4,6,1,4,6,6,9,2,0,0
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 ,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,1.6,Intel,Intel,0,15,0,1,0,1,1,3,0,0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U ,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,800.0,1.6,Intel,AMD,4,16,1,2,5,2,18,2,0,1
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U ,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1298.0,1.9,Intel,Intel,4,17,0,2,13,9,8,2,0,0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U ,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,896.0,1.6,Intel,Nvidia,1,18,1,2,5,6,19,2,0,2
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 ,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,244.99,1.44,Intel,Intel,6,19,1,2,14,10,20,2,0,0
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 ,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,199.0,1.5,AMD,AMD,3,20,1,4,15,7,17,2,1,1
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 ,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,439.0,2.5,AMD,AMD,1,21,1,2,16,4,18,2,1,1
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U ,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1869.0,1.8,Intel,Intel,4,9,0,9,4,3,8,2,0,0
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 ,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,998.0,1.6,Intel,Intel,0,15,0,1,0,5,1,3,0,0
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 ,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,249.0,1.1,Intel,Intel,5,22,1,4,17,10,21,2,0,0
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U ,4,1TB HDD,Intel HD Graphics 620,Linux,2.1,367.0,2.7,Intel,Intel,2,3,1,4,18,6,2,4,0,0
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U ,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,979.0,1.6,Intel,AMD,4,23,1,5,5,8,18,2,0,1
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U ,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,488.69,2.5,Intel,Intel,1,2,1,4,1,6,2,2,0,0
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U ,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,1.6,Intel,Nvidia,1,24,1,2,5,2,22,2,0,2
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U ,4,1TB HDD,Intel HD Graphics 620,Linux,2.0,389.0,2.0,Intel,Intel,3,25,1,2,6,6,2,4,0,0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ ,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,2.8,Intel,Nvidia,4,26,3,5,19,11,23,2,0,2
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U ,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,522.99,2.5,Intel,Nvidia,3,27,1,4,1,6,14,4,0,2
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U ,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,682.0,1.6,Intel,Intel,2,28,1,5,5,2,8,2,0,0
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U ,12,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,999.0,1.6,Intel,Nvidia,4,29,4,8,5,6,24,2,0,2
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 ,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,1419.0,2.0,Intel,Intel,0,0,0,0,0,2,25,0,0,0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U ,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,369.0,2.0,Intel,Intel,5,30,1,4,6,0,9,1,0,0
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 ,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,1299.0,3.0,AMD,AMD,3,31,3,2,20,11,26,2,1,1
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U ,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,639.0,2.5,Intel,AMD,4,6,1,2,1,2,11,2,0,1
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 ,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,466.0,1.1,Intel,Nvidia,3,32,1,4,21,6,27,2,0,2
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 ,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,319.0,1.44,Intel,Intel,5,33,4,10,22,10,15,5,0,0
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U ,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,841.0,1.8,Intel,Nvidia,2,28,1,5,4,2,7,2,0,2
HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 ,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,2.5,AMD,AMD,1,12,1,2,16,2,28,2,1,1
